ENTITY,TRADE ID,DESCRIPTION,PORTFOLIO,TRADE DATE,SETTLEMENT DATE,DEAL,ISIN,NAME,TYPE,MATURITY,NV,FX,NET,GROSS
,ERT/01112508,Nyitó egyenleg,B,3/30/2016,3/30/2016,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,39900000.0000,HUF,99.85 ,102.40 
,ERT/01112700,Nyitó egyenleg,B,3/31/2016,3/31/2016,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,1000000.0000,HUF,99.85 ,102.41 
,ERT/01112807,Nyitó egyenleg,B,4/1/2016,4/1/2016,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,1035721413.0000,HUF,100.00 ,102.57 
,ERT/01120957,Nyitó egyenleg,B,5/30/2016,5/30/2016,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,1009531.0000,HUF,100.00 ,103.11 
,ERT/01167136,Nyitó egyenleg,B,4/19/2017,4/19/2017,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,166025.0000,HUF,99.50 ,102.03 
,ERT/01169586,Nyitó egyenleg,B,5/9/2017,5/9/2017,1,HU0000402888,BÓNUSZ MAGYAR ÁLLAMKÖTVÉNY 2020/P,NDTB,7/22/2020,7500000.0000,HUF,99.50 ,102.22 
